,Rolling-beta pairs trade,50/50 buy and hold
2018-03-27,1.0,0.9986012163489599
2018-03-28,1.0,0.9944079147623403
2018-03-29,1.0,1.0116953811816838
2018-03-30,1.0,1.0053767644215545
2018-04-02,1.000993162669141,0.9968291370201854
2018-04-03,1.0011909063443956,0.9945314701553211
2018-04-04,1.0015647018709435,1.0048316513473845
2018-04-05,0.9983098525080091,1.0228763309310678
2018-04-06,0.9986110812686032,1.0070311019051028
2018-04-09,1.005498517973385,0.9890909137326015
2018-04-10,1.0078711945293475,0.9937375988226311
2018-04-11,1.00420369574001,0.9762032733761932
2018-04-12,1.0027329917307477,0.9731309913698418
2018-04-13,0.9960821944271355,0.9804015086076945
2018-04-16,0.9968069179243687,0.9936470090596778
2018-04-17,0.99425064419691,1.00471081145917
2018-04-18,0.9994241305643342,0.9946706689492952
2018-04-19,0.9948652361810538,0.9964724891488163
2018-04-20,0.9847218753271855,1.006519710559438
2018-04-23,0.984232566893892,1.024459013040326
2018-04-24,0.9834668395018834,1.0207121893117237
2018-04-25,0.9833199614067816,1.0175335526436866
2018-04-26,0.9771773444622095,1.0306512899678464
2018-04-27,0.9821761265444993,1.0220123334736464
2018-04-30,0.9831670502125062,1.0181354386910157
2018-05-01,0.9789775786036043,1.009315445845302
2018-05-02,0.9772177885921465,1.0124438171248757
2018-05-03,0.9782670490947898,1.0042224775448962
2018-05-04,0.9820334312665454,1.0157475763254213
2018-05-07,0.9861855160141153,1.0189463026867402
2018-05-08,0.9864733144085077,1.018404657961155
2018-05-09,0.9901137556536184,1.0228687757972375
2018-05-10,0.9933784615400764,1.011846845422051
2018-05-11,0.9928817723093064,1.0211725129165106
2018-05-14,0.9928817723093064,1.0261508897198248
2018-05-15,0.9928817723093064,1.0250823469774837
2018-05-16,0.9928817723093064,1.0112393034025402
2018-05-17,0.9928817723093064,1.0184078102757856
2018-05-18,0.9928817723093064,0.9959336687455357
2018-05-21,0.9928817723093064,0.9785480841143838
2018-05-22,0.9928817723093064,0.9696487196971587
2018-05-23,0.9928817723093064,0.9686156307697509
2018-05-24,0.9928817723093064,0.9837151839984456
2018-05-25,0.9928817723093064,1.0157780680563175
2018-05-28,0.9928817723093064,1.005185096853724
2018-05-29,0.9928817723093064,1.0025447702620958
2018-05-30,0.9928817723093064,1.0036751806776345
2018-05-31,0.9928817723093064,1.007420988149726
2018-06-01,0.9928817723093064,1.0138023478111853
2018-06-04,0.9928817723093064,1.0021086856593957
2018-06-05,0.9928817723093064,1.0137860847214186
2018-06-06,0.9928817723093064,1.01680311101813
2018-06-07,0.9928817723093064,1.01429142517836
2018-06-08,0.9928817723093064,1.0128446420243549
2018-06-11,0.9928817723093064,1.007330399320023
